Tara,comp1,comp2,comp3,comp4,comp5,comp6,comp7,comp8,comp9,comp10,comp11,comp12,comp13,comp14,comp15,comp16
Afghanistan,1.7540096513010777,0.39806744009280304,0.003448580849956939,0.5173242584987471,0.0975342963699402,1.0960369577984266,0.11646362716849183,0.004458400463579698,0.2576352060169987,0.3831836450591852,8.647517063587358,0.0011509521276920009,0.7157774010699811,0.6804339202824402,0.044687320076512334,1.4704470751518122
Albania,0.07742733412030228,0.14021067601701767,0.008707663046195276,0.18059269695869315,9.103449670603279e-05,1.6455074027712882,0.04971029639922019,0.6302356484733707,0.25354003745018144,0.002082128305570491,0.15572270792103463,0.5537105914480612,0.4294517685781172,0.390092876395817,0.16348533749158756,0.009747810863438686
Algeria,0.07110292291020469,0.22653264066513207,0.14453980554134255,0.0008969658046722295,0.04265332350177691,0.02140235988432459,0.003216485959596991,0.6864475700881487,0.022405105086867615,0.02732129591484769,0.2941938709547658,0.3876961340765374,0.24714120126747913,0.09000061510685664,0.19103254706426884,0.07972773541608724
Andorra,0.3339466583106316,0.05037596224661804,0.000861255579113171,0.9230648874031959,0.14565266564033183,0.2251973343016303,1.2094127959697225,0.04761065316151127,0.0057158860006549985,0.04904170484412775,0.21617872695268384,1.2372877491337568,0.30091133018626864,2.0588829857375868,0.0037264280149624366,0.06805283807189666
Angola,2.0710553925364734,0.09498903821187113,0.8822489771544224,0.03445578047773172,0.058287347434799346,0.5834544896564182,0.04584661096982281,1.8723005576564722,0.2578718840912237,1.8082712254521225,0.19600035218769757,0.08920408591651484,0.324277040594667,0.7161157849363964,0.025454597896579594,0.011243807506007751
Antigua and Barbuda,0.14872594172781495,0.029419252617232942,5.984199741028267e-06,0.06494934451576326,0.07592730237956435,0.077810005086452,0.40375168466259087,1.6258145520727185,0.17852126029774384,6.126873610126894,0.5342494571716778,1.8118499759032234,0.4512455579207137,0.3716176513877107,0.08383581759393505,0.005091411059059197
Argentina,0.4500730758170183,0.10811849417406248,0.17890733031492934,0.06824143650970431,0.022634806232516146,0.00032529328891347706,1.4845066934385705e-05,0.07332910093556305,0.062066847806085255,0.07219823808677266,0.06048240757812966,0.06082763519494613,0.013705446999637255,0.17543705979386764,0.4458452394738157,0.003503710152988796
Armenia,0.07364892860491057,0.08006941917163381,0.00129947188137957,0.21548676756136076,0.005369002239136298,0.7848895966117155,0.06918535625781916,0.8151440376703308,0.15942724483271895,0.23964982405885965,0.014882467658060788,0.2568413201918398,0.10853945251993104,0.045474582860060994,0.482535263034899,2.6436421621149493
Australia,0.9496788314082489,0.0666742629300863,0.20234077016853375,0.07327713126801749,0.010603466067199984,0.6809028930465363,0.13410189710920678,0.09211600830358875,0.015084954296334286,0.17539123357568537,0.04104349925773602,0.00482924383076949,0.004460925487819418,0.018834984520797262,0.2667373967391104,0.08178630667986651
Austria,0.7720237427132782,0.06270224319988293,0.08021319462578941,0.07045485294924121,0.003711314610717017,0.2044478744094508,2.691307008246244e-05,0.005150519965421365,0.0022191232269440867,0.007187213003319165,0.08293461719563866,0.04570996296668229,0.019994491336498277,0.0015355215414726941,0.043317257421627654,0.006412350100630486
Azerbaijan,0.0006220723219126635,0.43894440953105646,0.9506011488335562,0.3162385852101072,0.23508268761742102,1.386820580130133,0.007017810689018921,1.465613937527888,0.008832879190751798,0.0578527798043251,0.006825662816224203,0.2328521678372349,0.1324376831444473,0.043569089793096795,0.131561351064027,0.2318237291117585
Bahamas,0.2673766854954922,0.2486192429033307,0.15956603343228956,0.3470665327722803,0.05495347032091408,2.0626051528295335,0.10438670007114485,0.14982085475151893,0.5740119399259047,0.01322221868253134,0.13145256658367535,0.008141088700965818,0.7965212092345534,0.01632884432806245,0.0734694828126982,0.2159878486026467
Bahrain,0.5166305107190765,0.042513964378309864,0.08566832099760034,0.07597000141760894,0.005082148539682065,0.40697575472039,0.07513011211951921,0.2515117998540415,0.06391058858371033,0.0009581717321167094,0.051011374863432386,0.38995855232465015,0.036038160139766004,3.4759340109515797,0.01822853854579309,0.6585601953408409
Bangladesh,0.08992361952041013,0.25028254162594465,0.42181696903735794,0.025280765112038212,0.07503470287961152,0.19762312205109814,0.011021223826262045,1.2757589725739147,0.11141175482088984,0.38382626405503223,0.02079946476775422,0.07631649627759303,0.4075749090118154,0.3020038302335028,2.9398770641152994,0.1937172253731798
Barbados,0.5322032808053573,0.14030187160876742,0.020640948020378986,0.7139354758918842,0.005992164110951691,0.48422086535057984,0.6608235075281509,0.019877116873924395,0.012326169962071188,0.21325813637515892,0.3036231944383042,0.06583912416062902,0.08627356752670721,0.001361041279481426,0.2249604673915868,0.1251835733392535
Belarus,0.020193448274042906,0.03387568292566861,1.7755657009388635,5.772498398587818,0.666309292108012,1.0023410109197108,0.02761849167587787,0.13691802944880713,0.015466689566579579,0.004106845325039891,0.11080197044395833,0.06702902511728229,0.26944402226145375,0.7960012283350882,0.11935147121401336,0.019403862250112387
Belgium,0.7101303139113859,0.12656788105558328,0.48662368696624986,0.08241407149002683,0.030346588441257268,0.20020898477861282,0.30251185525996804,0.0069516653327743585,0.030127230777965343,0.009837324037368691,0.07039048613479572,0.02602180088122478,0.06058288865018806,0.010713145518482308,0.05257694569489199,0.011180303614329312
Belize,0.14375779784665435,0.07018469863832046,0.39444588408585485,0.18697157341704834,0.08418550159968173,0.006801400026847708,0.0071926902512523235,0.01286026003521493,0.26262851097460016,0.04458868870721402,0.0911279761829532,0.0022770466963351666,0.09336377016039223,0.7002967493494789,0.18831548983278262,0.3095983817923322
Benin,0.838162198902252,0.6245836478055852,0.6104917320350253,0.9996460227147915,0.25259804130208635,0.42107869908551343,0.09959566739067806,1.5809638097771597,0.05948274380965481,0.02495346415720207,0.08518313978687332,0.9956273644335751,0.040123041057629004,0.8318311843950501,0.18862145825516866,0.04062497218703474
Bhutan,0.09004484443157955,0.4212006899972855,0.3505437226021386,0.1300411969569095,0.09790581324839448,0.27244384996049503,0.05377652924159718,0.7656669657013584,0.10817100614642126,0.11138934928737076,0.33323365969349983,0.5929091439777675,0.17347381516106133,0.024958443666752095,0.012092809067075617,0.7388904590637366
Bolivia,0.024425143216744796,0.10066376656929746,2.2640604344115163,0.2416157389784216,0.13993825667850596,5.415253703991647,4.637674151632132,0.004320546334929282,0.07138901320276614,0.4499908808561129,0.19704393757642005,8.735284423780952e-06,0.14218414921606973,1.4408210609557284,0.027021994084709722,0.024283255569142417
Bosnia and Herzegovina,0.32499781575017095,4.7306167633762066e-05,0.08262338229026044,0.04418743190718999,0.008828717037525238,0.24037053863873414,0.7075471482136076,1.0842720399673806,0.6100141352745668,0.4095070439481587,0.002154275516620305,1.1301504565557954,0.10733099787013597,0.0979265812058346,0.05148856741982961,0.20583469481722708
Botswana,0.9089293838425163,14.037389414806102,1.5086860499628314,0.04862547674424594,0.21714424436357818,0.2815770657054274,0.37389377465066853,0.01977843442312642,0.01741860653199205,0.05899099778504618,0.9375067352339731,1.0596467407210073,0.0408926042936303,0.26555051721725875,1.0240737007783884,0.25807377673353804
Brazil,0.014098421866352982,0.06072331250941017,0.0006469381712373159,0.00010707070447909923,0.03160037776964049,0.4820716921454396,0.35899707539327164,0.014186432970563517,0.38883431502978016,0.7078161288633573,0.22103458148495814,0.010923452183762394,0.00205573666000474,0.20020348229357926,0.24612847454531525,0.02259398080906825
Brunei Darussalam,0.6952214087447717,0.1039711909218652,0.0026860297469958752,0.028831509006995413,0.0061067766259065796,0.32872641324483565,0.12045970565437127,0.1553225268537441,7.419634032370015e-05,1.0007699878060536,0.11391636801207983,0.025205476863937988,0.030955248659163027,2.341167019676146,0.044118494303378865,0.051616920239646924
Bulgaria,0.11333172016859885,0.11583700110555098,0.06199619282387322,0.4352136666501281,0.0007154392543342393,0.43362595463533243,0.06219462407885043,1.731615557843232,0.17066809277028966,0.0048854047088226285,0.0052692479651368735,0.12711221816999194,4.471120085059684,1.6357519945205947,0.379155898605534,0.007176815741873157
Burkina Faso,1.430217418538164,0.1534480253710295,0.3584658533865638,0.12315190413061804,0.09758770109198604,0.002427583543949629,0.0035059039451360075,0.33936996870158415,1.3001038709144328,0.3076993422213353,0.2824676284273407,0.043859526282081486,0.037264925400560575,1.6955212131788884,1.0174742741513128,1.5237528468084351
Burundi,1.924671491735256,1.6521307884329427e-05,0.4268433178815979,0.24956133956281276,0.09509406929202437,0.01568133410299067,0.49536219896708755,6.1993168542776855,0.7836275455034919,4.191514754054455,2.7340706642468504,0.42865324215729206,0.09192060610794274,0.08099028253280705,3.498928600318587,2.629165847032737
Cambodia,0.4158465213972058,0.021418915254193455,0.21190186012327838,0.015036358677090187,0.061826900631715635,0.7367221859715327,1.8831811942455883,0.40132234731904665,0.9829017219718398,1.4429547546488661,0.00029939041362480673,3.81087384684844,0.0023710486481828877,0.5164605203604787,1.6758152866609077,1.5766098674208946
Cameroon,1.0359597532144018,0.09561808891421472,0.2108759434403896,0.41009454478029905,0.15421966031307985,0.18811371289593168,0.029457094742869453,0.9024132456799162,0.36064576371346063,0.0005893099226982138,0.10343232372957205,0.7387942636105607,0.1276609369522298,0.8019605253297983,0.1482475872044955,0.014673350883410098
Canada,0.8606157281604635,0.07841554508543726,0.13112567933921535,0.42582854703471773,0.002030721161796008,0.02945731429417484,0.019389258729667083,0.06594276530696863,0.0135528108515362,0.0051768516666599795,0.04212812103351393,0.0005388457022841017,0.002467595798032423,0.0004698904213005796,0.23043850237079286,4.235357644102914e-06
Cape Verde,0.02061280181944609,0.09490678229267269,0.03746836919362999,0.2295303284059018,0.19092333711070708,0.24823377007139508,0.9482051866329912,0.23017449921228803,1.5704005702630035,0.4578863180800256,1.7072778453667776,0.0042789685160224775,0.027428060994789748,1.900369571931639,0.6043960456462848,13.03875187690331
Central African Republic,1.5581033296946734,0.017219524004492157,0.26892077877587806,0.46048832773701853,0.014916245127442697,0.32153128239586476,0.27877009003944564,0.013686559318993577,0.5984922369620936,0.08025021559603063,0.5376382615258783,0.33037272024360176,0.09624815493920563,1.3804204595128038,0.07825388885589231,0.13859115926406626
Chad,1.5719582500253184,0.23707267580117133,0.43963933798471205,0.7627300453653487,0.11731808896699844,0.3181431030480509,0.042100407037738326,0.1630340483346771,0.25522252886683755,0.062073678994451105,0.7748747729807354,0.15465062940264485,0.10382760478416161,0.0012076434474300745,0.06532107299106261,0.0794156128848017
Chile,0.5766438194873543,0.04356298150413609,0.23748381881047123,0.06706677620337066,0.011742647093989336,0.14184437804484862,0.16573430734636121,0.12714922853009425,0.07294254959023946,0.05523336936719092,0.004265418878936917,0.00732857530228109,1.0180094452916912,0.19501365104604926,0.07391019445105196,0.037306386114192396
China,0.1220190215793196,0.05007455397910289,0.15489710551493097,0.016434096053264634,0.005786548004343914,0.05546665110330229,0.6857913036482547,0.3867055530966617,0.022894115138392773,0.550087406907125,0.6661824379857025,0.5609048533354,0.00044540079719488274,0.060835937955159465,0.37789051167434873,0.11746855956084011
Colombia,0.10153925534137208,0.01201830473263586,0.0018407122780248258,0.004196062773096475,0.01525236270426421,0.05956832423365021,0.5792082905534277,3.581060668194698,0.46914211788021204,0.04664126087773634,1.5155577952558228,0.4881886366189684,0.0010532120465813993,1.1150622509108128,0.2528263902884853,0.08347687452380276
