Tara,comp1,comp2,comp3,comp4,comp5,comp6,comp7,comp8,comp9,comp10,comp11,comp12,comp13,comp14,comp15,comp16
Afghanistan,0.7817366300569979,0.036517321181835205,0.0002351124465092296,0.029352707091158132,0.005026324160899053,0.036058191669170424,0.0033842924576482254,8.77844623910462e-05,0.0038001317814750483,0.0043131929968102225,0.0936280778715503,9.764715557575556e-06,0.00396711006956524,0.0017998738788480057,6.969050532710834e-05,1.3794654257350864e-05
Albania,0.24645489286822403,0.09186244347908577,0.004239859626132836,0.07318130592426728,3.35053214427702e-05,0.3866279434400108,0.01031664725681265,0.08862498975923701,0.026708817018812878,0.0001673840492577002,0.012041519181975964,0.033550563771341003,0.01699907609913379,0.00736951306130224,0.0018208860377194967,6.531052437996983e-07
Algeria,0.36049108076990144,0.2364022627243071,0.11209887669951803,0.0005789483088519329,0.025004870028807018,0.008009750588922263,0.0010632559470206498,0.15375333221825413,0.003759404175571852,0.003498418881930479,0.03623488496378305,0.03741729547915966,0.015581885452511738,0.002708196562670483,0.0033890287686584304,8.508430131721015e-06
Andorra,0.5363813256707252,0.016654579574299888,0.0002116095776522178,0.18874941387751895,0.02705077048923742,0.02669992573935987,0.12665437534242463,0.0033783977705778762,0.0003038400859708478,0.0019894157412631646,0.00843520610889422,0.03783041568781046,0.006010393028962295,0.01962708698134458,2.094354059922026e-05,2.3007833591715567e-06
Angola,0.850710962313661,0.008031147025935735,0.05543552984939731,0.001801811023354396,0.0027684026820834614,0.017690803609173827,0.0012278537554927817,0.03397629166294745,0.003505575074509592,0.018759330268167018,0.001955840174517038,0.0006975075535176175,0.0016564346233943791,0.0017458269621346769,3.658620595852972e-05,9.721575535205864e-08
Antigua and Barbuda,0.3023179618420389,0.012308996004070018,1.8607585761368895e-06,0.016807720953087746,0.01784595726647482,0.011675162336903541,0.05351070362310259,0.14600183860189558,0.012009699256443301,0.314542684037593,0.02638198745320098,0.07010892553034882,0.01140664557614781,0.004483335018556037,0.0005963038961959808,2.1784536475520272e-07
Argentina,0.8596712531933771,0.042507261936006145,0.05227381915078811,0.016594125284019618,0.004999088292379411,4.586429638538247e-05,1.848760365067754e-06,0.006187793704908227,0.003923503324054025,0.0034828872361496524,0.002806497359479114,0.0022116895043227747,0.00032554449806366793,0.00198883313265831,0.0029798494596492407,1.408673942879454e-07
Armenia,0.3110357260004966,0.06960241234407873,0.0008394937234833943,0.11585673409970926,0.0026218152327209367,0.24468236842541674,0.01905053227763221,0.1520856693210019,0.022282881332470375,0.025561386086674607,0.0015268802796755587,0.02064821858272057,0.005700320218908513,0.001139830309582318,0.0071307254949578265,0.0002350062704704864
Australia,0.8833364865196394,0.012765017279664328,0.028789858838851018,0.00867710202628022,0.0011404123661160929,0.04675034843863379,0.008132675133855568,0.003785250427397462,0.000464363819890476,0.004120223150482805,0.0009274275414104705,8.550714359710398e-05,5.159910460007557e-05,0.00010397820472107257,0.0008681487408331271,1.6012640270282383e-06
Austria,0.9352548231243537,0.01563493750715861,0.01486455245115502,0.010865933575970299,0.0005198663727387651,0.018282355948139293,2.1257472837268995e-06,0.0002756515695977401,8.897042871990045e-05,0.0002198990024285052,0.0024407389995008463,0.0010541053619519643,0.0003012155888087303,1.1040350171944568e-05,0.0001836204600836888,1.635119373373607e-07
Azerbaijan,0.0012956469766712251,0.18817810957763956,0.3028662407916805,0.08385278648637191,0.05661494760887991,0.21321430842142028,0.0009530080009325457,0.13485761934108317,0.0006088538581653405,0.0030432209312052385,0.00034536381611135716,0.009232088227977425,0.0034302452084068917,0.0005385821177668859,0.0009588152914971643,1.0163344190586521e-05
Bahamas,0.4515588245812993,0.08642498442548811,0.04122284607575856,0.0746208804621774,0.010731256538332807,0.2571326097625004,0.01149436696021556,0.011178233159231958,0.03208312691005766,0.0005639733440265057,0.005393194277676244,0.0002617261631048437,0.01672845865421193,0.00016367180895279036,0.0004341687894890292,7.678087476780605e-06
Bahrain,0.8242955164442044,0.01396202022906078,0.02090883651786679,0.015431276554264255,0.0009375941658544204,0.04793157333785354,0.00781566641105585,0.017728473678774833,0.0033747427147003324,3.861087862246509e-05,0.0019772250867645834,0.011843912480789823,0.0007150448481322853,0.032915620381342464,0.00010176901175053398,2.211725896279382e-05
Bangladesh,0.27925000781451764,0.15997928185503982,0.2003780685601868,0.0099946240202897,0.02694301772729191,0.04530096269040752,0.0022315073811957527,0.17502421601719265,0.011450261199257688,0.0301035384587851,0.0015691258258220052,0.0045114036994987235,0.015739634355534424,0.0055662088913644905,0.03194547897053072,1.2662533085100873e-05
Barbados,0.7078833306607811,0.03841150949650754,0.004199721612022829,0.1208926602298427,0.0009215788355206254,0.04754204933807399,0.05730845663080512,0.0011680128599756328,0.0005425968327991264,0.007163960642719573,0.009810819368279707,0.0016670247063108518,0.001427018750185969,1.0744422324690912e-05,0.0010470108043212814,3.504809529164623e-06
Belarus,0.016749418112614014,0.00578350437762455,0.22528522470873386,0.6095507809582795,0.06390425300089005,0.06136984103254017,0.0014936136887563286,0.005017183353797185,0.0004245722163934504,8.603219975927465e-05,0.002232661676451799,0.0010583419088007458,0.002779236949155462,0.003918597081410536,0.0003463999605693014,3.3877422393779065e-07
Belgium,0.8220208765563385,0.03015657922483665,0.08616775238861614,0.012145153230718771,0.0040618073874382965,0.01710718765445186,0.022831596729089836,0.00035550338988665124,0.0011541678532056893,0.0002875975722993456,0.0019794519143654606,0.0005733977675861615,0.0008720925099791517,7.360196927223007e-05,0.00021296143671842055,2.7241519680262914e-07
Belize,0.5291500469776272,0.053174527414897,0.22209643175423593,0.08761527806960259,0.03583021272712251,0.0018479746404046924,0.0017261871384153847,0.0020912563501926393,0.03199294824230147,0.004145105337836892,0.008148644088740957,0.00015954868086997745,0.004273597264859695,0.015298793166095928,0.0024254609748540234,2.398717194320305e-05
Benin,0.6191558167012315,0.09496777621227907,0.06898559246554502,0.09401019698861307,0.021575780777075285,0.02296071565336777,0.004796908383391134,0.05159455968908462,0.001454212404386437,0.0004655498332253536,0.0015286629059575703,0.014000468371936147,0.00036858148336362987,0.003646991236114573,0.00048755521330065825,6.316811281006747e-07
Bhutan,0.2618940905786293,0.2521562241786236,0.15596091200799386,0.0481509254421559,0.03292607637894012,0.05849168284108112,0.010197852049669729,0.09838227296704946,0.010412204294983813,0.008182272844224462,0.023545174100857415,0.03282682261735804,0.006274347399838712,0.0004308359975352035,0.00012307075426811674,4.523554679121552e-05
Bolivia,0.020882458084270656,0.01771460397418976,0.29610056737949814,0.02629823208745198,0.013833931275854295,0.34175397002369357,0.25851980611681774,0.00016318989442836175,0.0020199510385778695,0.009716540287593521,0.004092547921181447,1.4216588832321837e-07,0.0015116925314170762,0.007311090884698942,8.08393315083832e-05,4.370029298321343e-07
Bosnia and Herzegovina,0.6369174076660115,1.908245358946988e-05,0.024769222297559318,0.011024484007570516,0.0020006214900886075,0.034772360543445055,0.09040806043490433,0.0938752335344335,0.03956466926821663,0.020268774759987812,0.0001025628590496497,0.042161183629166925,0.002615746350142041,0.0011390188319001966,0.00035308096476607077,8.490909168452925e-06
Botswana,0.21864588085584205,0.695042363624917,0.05551581961083861,0.0014891274251204315,0.006039821920577676,0.004999869810143374,0.005864196053683347,0.0002101905386407836,0.00013867223969240078,0.00035839367936718104,0.005478627199934768,0.004852282933472492,0.00012232739030371763,0.0003791280727509768,0.000861991908364279,1.3067363507677268e-06
Brazil,0.10981793816868678,0.0973580821590949,0.0007708542748113583,0.00010617695767879473,0.028461626384157338,0.277181776843026,0.18232355702067762,0.0048818686377630404,0.10023798622084247,0.13924726756392242,0.041826276663365816,0.0016197073352152056,0.000199130621320468,0.009255546054066817,0.006708500604935008,3.7044904359539577e-06
Brunei Darussalam,0.8654015875057878,0.02663920994075552,0.0005114604931576104,0.004568974738566308,0.0008789643076872329,0.030205039782206258,0.00977654578610093,0.008541597298800654,3.0566238621089014e-06,0.031462430295615844,0.0034448227175795537,0.0005972598512171934,0.00047917773622782736,0.01729635469807771,0.0001921657794677162,1.3524448897097463e-06
