Tara,RM_Adulti,RM_Barbati,RM_femei,RM_cancer,RM_cardio,RM_vatamari,RM5_boli_diareice,RM5_HIV,RM5_vatamari,RM5_malaria,RM5_pojar,RM5_neonatal,RM5_pneumonie,SV,Tuberculoza,Polio
Montenegro,140.0,98.0,180.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Serbia,159.0,106.0,210.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Kiribati,239.0,191.0,283.0,52.0,273.0,22.0,22.0,0.0,1.3,0.7,2.6,22.1,11.5,54.0,420.0,0.0
Syrian Arab Republic,162.0,130.0,194.0,60.0,410.0,49.0,9.6,0.0,3.4,0.2,0.0,42.7,9.9,62.0,49.0,0.0
Morocco,135.0,106.0,164.0,67.0,411.0,48.0,12.0,0.3,4.0,0.4,0.2,44.7,14.0,60.0,112.0,0.0
Cook Islands,149.0,116.0,179.0,69.0,326.0,38.0,0.7,0.0,0.2,0.0,0.5,96.1,1.1,62.0,18.0,0.0
Niue,176.0,83.0,255.0,74.0,339.0,39.0,0,0,0,0,0,0,0,60.0,48.0,0.0
Uzbekistan,202.0,151.0,252.0,74.0,663.0,50.0,15.0,0.0,7.0,0.8,0.1,38.1,16.8,59.0,93.0,0.0
Qatar,78.0,77.0,80.0,75.0,340.0,40.0,8.4,0.1,5.2,0.0,0.0,29.6,7.7,65.0,66.0,0.0
Kuwait,78.0,62.0,87.0,78.0,309.0,34.0,0.7,0.0,7.9,0.0,0.0,35.5,4.4,67.0,28.0,0.0
Tunisia,147.0,119.0,176.0,78.0,417.0,72.0,7.0,0.0,9.7,0.2,0.0,52.7,7.6,62.0,25.0,0.0
Libyan Arab Jamahiriya,154.0,115.0,184.0,79.0,411.0,55.0,8.4,0.1,2.6,0.0,0.1,55.6,8.5,64.0,23.0,0.0
Mauritius,172.0,121.0,222.0,79.0,434.0,42.0,1.2,0.0,5.2,0.0,0.0,66.0,3.9,62.0,24.0,0.0
Egypt,200.0,162.0,237.0,84.0,560.0,35.0,13.0,0.0,2.1,0.4,0.1,44.3,14.6,59.0,31.0,5.0
Tonga,188.0,169.0,209.0,85.0,363.0,29.0,10.0,0.0,2.0,1.3,1.8,57.2,7.3,62.0,28.0,0.0
Fiji,240.0,183.0,292.0,86.0,470.0,40.0,11.0,0.2,2.9,0.0,0.0,41.2,9.2,59.0,28.0,0.0
Guyana,341.0,294.0,393.0,86.0,526.0,97.0,21.0,7.7,6.2,0.7,0.0,33.7,5.2,55.0,101.0,0.0
